Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0021253,0.047935,0.027764,0,0,0,0.0896,5.041E-05,-8.5548E-08,3.2278E-08,6.5382E-05,4.1605E-12,0.00010836,0,0,0,0,0,0,package://MARIO_v4/meshes/base_link.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://MARIO_v4/meshes/base_link.STL,,1_lower_baseplate_v4-1;2_upper_baseplate_v2-1;MG995.step-1;Servo_MG995_Star_horn-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.00097841,-0.015906,0.017371,0,0,0,0.024846,3.5165E-06,-2.305E-07,-7.8362E-10,7.2755E-06,-1.2738E-08,6.9877E-06,0,0,0,0,0,0,package://MARIO_v4/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://MARIO_v4/meshes/link_1.STL,,rectanglr_base-1;Perp-1;SG90 - Micro Servo 9g - Tower Pro.1-1;SG90 - Micro Servo 9g - Tower Pro.3-1,joint_1,Axis_joint_1,joint_1,revolute,-0.0030196,0.046937,0.0635,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link_2,-0.00039992,-0.0021855,0.052975,0,0,0,0.01633,5.4124E-06,-3.0048E-08,-1.8798E-08,5.9019E-06,-1.3839E-08,6.375E-07,0,0,0,0,0,0,package://MARIO_v4/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://MARIO_v4/meshes/link_2.STL,,5_lower_arm-1;SG90 - Micro Servo 9g - Tower Pro.1-2;SG90 - Micro Servo 9g - Tower Pro.3-2,joint_2,,joint_2,revolute,0.0010394,-0.0095198,0.034407,0,0,0,link_1,0,1,0,0,0,0,0,,,,,,,,
link_3,0.06228,0.002117,-0.019509,0,0,0,0.019923,1.655E-06,-2.7692E-07,1.0523E-06,5.1979E-06,9.2887E-08,5.4044E-06,0,0,0,0,0,0,package://MARIO_v4/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://MARIO_v4/meshes/link_3.STL,,Link2-1;Lauda-1;SG90 - Micro Servo 9g - Tower Pro.1-3;SG90 - Micro Servo 9g - Tower Pro.3-3,joint_3,,joint_3,revolute,-0.00063851,0.011696,0.072593,0,0,0,link_2,0,1,0,0,0,0,0,,,,,,,,
claw_right,0.0078791,0.0033483,-0.0010726,0,0,0,0.013225,7.6987E-07,-3.6907E-07,6.5483E-07,2.672E-06,1.0553E-07,3.0884E-06,0,0,0,0,0,0,package://MARIO_v4/meshes/claw_right.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://MARIO_v4/meshes/claw_right.STL,,mariogear-1,joint_4,,joint_4,revolute,0.091729,-0.0080548,-0.011749,0,0,0,link_3,0,1,0,0,0,0,0,,,,,,,,
claw_left,0.017988,0.013506,0.0076557,0,0,0,0.013642,8.1401E-07,-4.7952E-08,6.8628E-07,2.8195E-06,2.246E-08,3.2661E-06,0,0,0,0,0,0,package://MARIO_v4/meshes/claw_left.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://MARIO_v4/meshes/claw_left.STL,,mariogear2-1,joint_5,,joint_5,revolute,0.079643,0.0091993,-0.020398,0,0,0,link_3,0,1,0,0,0,0,0,,,,,,,,
